AGAF, Afutara Aerodrome
FOOT, Tchibanga Airport
FOOY, Mayumba Airport
FPPR, Principe Airport
FPST, Sao Tome International Airport
FQAG, Angoche Airport
FQBI, Bilene Airport
FQBR, Beira Airport
FQCB, Cuamba Airport
FQCH, Chimoio Airport
FQFU, Furancungo Airport
FQIA, Inhaca Airport
FQIN, Inhambane Airport
FQLC, Lichinga Airport
FQLU, Lumbo Airport
FQMA, Maputo Airport
FQMD, Mueda Airport
FQMP, Mocimboa da Praia Airport
FQMR, Marrupa Airport
FQNC, Nacala Airport
FQNP, Nampula Airport
FQPB, Pemba Airport
FQPO, Ponta do Ouro Airport
FQQL, Quelimane Airport
FQSG, Songo Airport
FQTT, Chingozi Airport
FQUG, Ulongwe Airport
FQVL, Vilankulo Airport
FQXA, Xai-Xai Airport
FSAL, Alphonse Airport
FSAS, Assumption Island Airport
FSDA, Darros Airport
FSDR, Desroches Airport
FSFA, Farquhar Airport
FSIA, Seychelles International Airport
FSMA, Marie-Louise Airport
FSPL, Platte Airport
FSPP, Praslin Airport
FSSB, Bird Island Airport
FSSC, Coetivy Airport
FSSD, Denis Island Airport
FSSF, Fregate Island Airport
FSSR, Remire Island Airport
FTTA, Sarh Airport
FTTB, Bongor Airport
FTTC, Abeche Airport
FTTD, Moundou Airport
FTTE, Biltine Airport
FTTF, Fada Airport
FTTG, Goz-Beida Airport
FTTH, Lai Airport
FTTI, Ati Airport
FTTJ, N'Djamena International Airport
FTTK, Bokoro Airport
FTTL, Bol Airport
FTTM, Mongo Airport
FTTN, Am Timan Airport
FTTP, Pala Airport
FTTR, Zouar Airport
FTTS, Bousso Airport
FTTU, Mao Airport
FTTY, Faya Largeau Airport
FTTZ, Bardai Zougra Airport
FVAB, Aberdeen Airport
FVAE, Braebourne Airport
FVBB, Beit Bridge Airport
FVBI, Binga Airport
FVBL, Mabalauta Airport
FVBM, Bumi Airport
FVBO, Bosbury Airport
FVBU, Joshua Mqabuko Nkomo International Airport
FVCC, C.C. Strip
FVCD, Chirundu Airport
FVCE, Celina Airport
FVCH, Chipinge Airport
FVCM, Cam+Motor Airport
FVCN, Centenary Airport
FVCP, Charles Prince Airport
FVCR, Chizarira Airport
FVCV, Chivu Airport
FVCZ, Buffalo Range Airport
FVDA, Dawsons Airport
FVDE, Deka Airport
FVDU, Dudley Airport
FVED, Eduan Airport
FVFA, Victoria Falls International Airport
FVFG, Fothergill Airport
FVFI, Filabusi Airport
FVGD, Gwanda Airport
FVGO, Gokwe Airport
FVGR, Mutara Grand Ref Airport
FVGT, Gaths Mine Airport
FVGW, Gweru Airport
FVHA, Harare International Airport
FVHP, Home Park Airport
FVHY, Hippo Valley Airport
FVIN, Induna Airport
FVIT, Itafa Airport
FVKB, Kariba International Airport
FVKK, Kwekwe Airport
FVKW, Mkwasine Airport
FVKZ, Kezi Airport
FVLA, Langford Airport
FVLG, Longuiel Airport
FVLU, Lusulu Airport
FVMA, Marondera Airport
FVMB, Mashumbi Airport
FVMD, Mount Darwin Airport
FVMF, Mabikwa Airport
FVMK, Mkonono Airport
FVMN, Mana Pools Airport
FVMS, Middle Sabi Airport
FVMT, Mutoko Airport
FVMU, Mutare Airport
FVMV, Masvingo International Airport
FVMW, Murewa Airport
FVNY, Nyanyadzi Airport
FVOT, Kotwa Airport
FVPL, Plumtree Airport
FVRA, Ratelshoek Airport
FVRE, Renroc Airport
FVRT, Rutenga Airport
FVRU, Rusape Airport
FVSC, Zisco Airport
FVSE, Sanyati Estate Airport
FVSH, Zvishavane Airport
FVSN, Sun Yet Sen Airport
FVSV, Spray View Airport
FVSX, Sengwa Gorge Airport
FVSY, Siyalima Airport
FVTA, Tashinga Airport
FVTD, Tinfields Airport
FVTE, Tengwe Airport
FVTJ, Tonje Airport
FVTL, Thornhill Air Base
FVTS, Tsholothso Airport
FVTU, Tuli Airport
FVWD, Wedza Airport
FVWN, Hwange National Park Airport
FVWT, Hwange Airport
FVYT, Inyati Airport
FVZC, Zisco Airport
FVZK, Zaka Airport
FWBG, Bangula Airport
FWCB, Chilumba Prv Airport
FWCD, Chelinda Malawi Airport
FWCL, Chileka International Airport
FWCM, Club Makokola Airport
FWCS, Ntchisi Airport
FWCT, Chitipa Airport
FWDW, Dwangwa Airport
FWDZ, Dedza Airport
FWKA, Karonga Airport
FWKB, Katumbi Airport
FWKG, Kasungu Airport
FWKI, Lilongwe International Airport
FWKK, Nkhota Kota Airport
FWLE, Lilongwe Airport
FWLK, Likoma Island Airport
FWLP, Lifupa Airport
FWMC, Mchinji Airport
FWMG, Mangochi Airport
FWMY, Monkey Bay Airport
FWMZ, Mzimba Airport
FWNB, Ngabu Airport
FWSJ, Nsanje Airport
FWSM, Salima Airport
FWSU, Nchalo Sucoma Airport
FWTK, Mtakatata Airport
FWUU, Mzuzu Airport
FWZA, Zomba Airport
FXBB, Bobete Airport
FXKA, Katse Airport
FXKB, Kolberg Airport
FXLK, Lebakeng Airport
FXLR, Leribe Airport
FXLS, Lesobeng Airport
FXLT, Letseng Airport
FXMA, Matsaile Airport
FXMF, Mafeteng Airport
FXMH, Mohale's Hoek Airport
FXMK, Mokhotlong Airport
FXML, Malefiloane Airstrip
FXMM, Moshoeshoe I International Airport
FXMN, Mantsonyane Airport
FXMP, Mohlanapeng Airport
FXMS, Mashai Store Airport
FXMT, Matabeng Store Airport
FXMU, Mejametalana Airbase
FXMV, Matabeng Village Airport
FXNH, Nohanas Airport
FXNK, Nkaus Airport
FXPG, Pelaneng Airport
FXQG, Quthing Airport
FXQN, Qacha's Nek Airport
FXSE, Sehlabathebe Airport
FXSH, Sehonghong Airport
FXSK, Sekakes Airport
FXSM, Semonkong Airport
FXSS, Seshutes Airport
FXST, St. Theresa Airport
FXTA, Thaba-Tseka Airport
FXTB, Tebellong Airport
FXTK, Tlokoeng Airport
FYAB, Aroab B Airport
FYAM, Aminuis Airstrip
FYAR, Arandis Airport
FYAS, Aus Airport
FYAV, Ariamsvley Airport
FYBC, Bethanien Airport
FYBJ, Bitterwasser Lodge & Flying Club Airfield
FYEK, Epukiro Airport
FYEN, Eenhana Airport
FYGB, Gobabis Airport
FYGC, Gochas Airstrip
FYGF, Grootfontein Airport
FYGK, Geluk Kuala Lodge Airport
FYGL, Omaruru Game Lodge Airport
FYGV, Gravenstein Prv Airport
FYHH, Helmeringhausen Airport
FYHS, Hobas Airport
FYIA, Intu Africa Pan Airport
FYKA, Karibib Airport
FYKD, Kalkfeld Airport
FYKE, Kalahari Game Lodge Airport
FYKJ, Kamanjab Airport
FYKM, Katima Mulilo Airport
FYKT, Keetmanshoop Airport
FYLS, Lianshulu Airport
FYLZ, Luderitz Airport
FYMB, Meob Bay Landing Site
FYME, Mount Etjo Airport
FYMH, Maltahoehe Airstrip
FYML, Mariental Airport
FYMO, Mokuti Lodge Airport
FYNA, Namutoni Airport
FYOA, Ondangwa Airport
FYOE, Omega Airport
FYOG, Oranjemund Airport
FYOJ, Outjo Airport
FYOM, Omaruru Airport
FYON, Okahandja Airstrip
FYOO, Okaukuejo Airport
FYOU, Operet Airport
FYOW, Otjiwarongo Airport
FYPO, Pokweni Glider Airport
FYRC, Ruacana Airport
FYRP, Rosh Pinah Airport
FYRR, Rag Rock Airport
FYRU, Rundu Airport
FYSA, Skorpion Mine Airport
FYSL, Sossusvlei Moun Airport
FYSM, Swakopmund Airport
FYSN, Osona Airstrip
FYSO, Solitaire Airport
FYSP, Stampriet Pan Airport
FYSS, Sesriem Airstrip
FYST, Strate Airport
FYTK, Tsumkwe Airport
FYTM, Tsumeb Airport
FYUS, Uis Mine Airport
FYWB, Walvis Bay Airport
FYWD, Wolwedans Airport
FYWE, Eros Airport
FYWH, Hosea Kutako International Airport
FYWI, Witvlei Airport
FYXX, Canon Lodge Airport
FZAA, Ndjili International Airport
FZAB, Ndolo Airport
FZAD, Celo Zongo Airport
FZAE, Kimpoko Airport
FZAF, Nsangi Airport
FZAG, Muanda Airport
FZAH, Tshela Airport
FZAI, Kitona Base Airport
FZAJ, Boma Airport
FZAL, Luozi Airport
FZAM, Tshimpi Airport
FZAN, Inga Airport
FZAP, Lukala Airport
FZAR, Nkolo Fuma Airport
FZAS, Inkisi Airport
FZAU, Konde Airport
FZAW, Kwilu-Ngongo Airport
FZAX, Luheki Airport
FZAY, Mvula Sanda Airport
FZBA, Inongo Airport
FZBB, Bongimba Airport
FZBC, Bikoro Airport
FZBD, Oshwe Airport
FZBE, Beno Airport
FZBF, Bonkita Airport
FZBG, Kempa Airport
FZBH, Isongo Airport
FZBI, Nioki Airport
FZBJ, Mushie Airport
FZBK, Boshwe Airport
FZBL, Djokele Airport
FZBN, Malebo Airport
FZBO, Bandundu Airport
FZBP, Bolongonkele Airport
FZBQ, Bindja Airport
FZBS, Semendua Airport
FZBT, Basango Mboliasa Airport
FZBU, Ipeke Airport
FZBV, Kempile Airport
FZBW, Basengele Airport
FZCA, Kikwit Airport
FZCB, Idiofa Airport
FZCD, Vanga Airport
FZCE, Lusanga Airport
FZCF, Kahemba Airport
FZCI, Banga Airport
FZCK, Kajiji Airport
FZCL, Banza Lute Airport
FZCM, Mangai Ii Airport
FZCO, Boko Airport
FZCP, Popokabaka Airport
FZCR, Busala Airport
FZCS, Kenge Airport
FZCT, Fatundu Airport
FZCU, Ito Airport
FZCV, Masi Manimba Airport
FZCW, Kikongo Sur Wamba Airport
FZCX, Kimafu Airport
FZCY, Yuki Airport
FZDA, Malanga Airport
FZDB, Kimbau Airport
FZDD, Wamba Luadi Airport
FZDE, Tono Airport
FZDF, Nzamba Airport
FZDG, Nyanga Airport
FZDH, Ngi Airport
FZDJ, Mutena Airport
FZDK, Kipata Katika Airport
FZDL, Kolokoso Airport
FZDM, Masamuna Airport
FZDN, Mongo Wa Kenda Airport
FZDO, Moanza Airport
FZDP, Mukedi Airport
FZDQ, Mazelele Airport
FZDR, Bokela Airport
FZDS, Yasa Bongo Airport
FZDT, Matari Airport
FZDU, Kimpangu Airport
FZDY, Missayi Airport
FZEA, Mbandaka Airport
FZEB, Monieka Airport
FZEI, Ingende Airport
FZEM, Yembe Moke Airport
FZEN, Basankusu Airport
FZEO, Beongo Airport
FZEP, Mentole Airport
FZER, Kodoro Airport
FZES, Ngumu Airport
FZFA, Libenge Airport
FZFB, Imesse Airport
FZFC, Engengele Airport
FZFD, Gbadolite Airport
FZFE, Abumumbazi Airport
FZFF, Bau Airport
FZFG, Bokada Airport
FZFH, Mokaria-Yamoleka Airport
FZFJ, Goyongo Airport
FZFK, Gemena Airport
FZFL, Kala Airport
FZFN, Lombo Airport
FZFP, Kotakoli Airport
FZFQ, Mpaka Airport
FZFR, Mombongo Airport
FZFS, Karawa Airport
FZFT, Tandala Airport
FZFU, Bumbar Airport
FZFV, Gbado Airport
FZFW, Gwaka Airport
FZGA, Lisala Airport
FZGB, Bosondjo Airport
FZGC, Bolila Airport
FZGE, Binga Airport
FZGF, Bokungu Airport
FZGG, Mondombe Airport
FZGH, Wema Airport
FZGI, Yalingimba Airport
FZGN, Boende Airport
FZGT, Boteka Airport
FZGV, Ikela Airport
FZGX, Monkoto Airport
FZGY, Yemo Airport
FZIA, Kisangani Simisini Airport
FZIC, Bangoka International Airport
FZIG, KM 95 CFL Airport
FZIK, Katende Airport
FZIR, Yangambi Airport
FZIZ, Lokutu Airport
FZJB, Doko Airport
FZJC, Dungu-Uye Airport
FZJD, Doruma Airport
FZJF, Aba Airport
FZJH, Matari Airport
FZJI, Watsa Airport
FZJK, Faradje Airport
FZJN, Luniemu Airport
FZJR, Kere Kere Airport
FZKA, Bunia Airport
FZKB, Bambili-Dingila Airport
FZKC, Mahagi Airport
FZKF, Kilomines Airport
FZKI, Yedi Airport
FZKJ, Buta Zega Airport
FZKN, Aketi Airport
FZKO, Ango Airport
FZMA, Bukavu Kavumu Airport
FZMB, Rughenda Airfield
FZMC, Mulungu Airport
FZMD, Nzovu Airport
FZMK, Bulongo Kigogo Airport
FZMP, Kimano Ii Airport
FZMW, Shabunda Airport
FZNA, Goma International Airport
FZNB, Katale Airport
FZNC, Rutshuru Airport
FZNF, Lubero Airport
FZNI, Ishasha Airport
FZNK, Katanda Rusthuru Airport
FZNP, Beni Airport
FZNQ, Obaye Airport
FZNR, Rwindi Airport
FZOA, Kindu Airport
FZOB, Tingi-Tingi Airport
FZOC, Kamisuku Airport
FZOD, Kinkungwa Airport
FZOE, Kampene Airport
FZOF, Kiapupe Airport
FZOG, Lulingu Tshionka Airport
FZOH, Moga Airport
FZOJ, Obokote Airport
FZOK, Kasongo Airport
FZOO, Kailo Airport
FZOP, Punia Airport
FZOQ, Punia-Basenge Airport
FZOR, Saulia Airport
FZOS, Kasese Airport
FZOT, Phibraki Airport
FZPB, Kamituga Airport
FZPC, Lugushwa Airport
FZQA, Lubumbashi International Airport
FZQC, Pweto Airport
FZQD, Mulungwishi Airport
FZQF, Fungurume Airport
FZQG, Kasenga Airport
FZQH, Katwe Airport
FZQI, Kamatanda Airport
FZQJ, Mwadingusha Airport
FZQM, Kolwezi Airport
FZQN, Mutshatsha Airport
FZQP, Kisenge Airport
FZQU, Lubudi Airport
FZQV, Mitwaba Airport
FZRA, Manono Airport
FZRB, Moba Airport
FZRC, Mukoy Airport
FZRD, Kabombo Airport
FZRE, Bukena Airport
FZRF, Kalemie Airport
FZRG, Sominka Airport
FZRJ, Pepa Airport
FZRK, Kansimba Airport
FZRL, Lusinga Airport
FZRM, Kabalo Airport
FZRN, Nyunzu Airport
FZRO, Luvua Airport
FZRQ, Kongolo Airport
FZSA, Kamina Base Airport
FZSB, Ville Airport
FZSC, Songa Airport
FZSD, Sandoa Airport
FZSE, Kanene Airport
FZSI, Dilolo Airport
FZSJ, Kasaji Airport
FZSK, Kapanga Airport
FZTK, Kaniama Airport
FZTL, Luena Airport
FZTS, Kaniama Airport
FZUA, Kananga Airport
FZUE, Lubondaie Airport
FZUF, Kasonga Airport
FZUG, Luiza Airport
FZUH, Moma Airport
FZUI, Mboi Airport
FZUJ, Muambi Airport
FZUK, Tshikapa Airport
FZUL, Bulape Airport
FZUM, Mutoto Airport
FZUN, Luebo Airport
FZUO, Musese Airport
FZUP, Diboko Airport
FZUR, Tshibala Airport
FZUS, Tshikaji Airport
FZUT, Katubwe Airport
FZUU, Lutshatsha Airport
FZUV, Kalonda Airport
FZVA, Lodja Airport
FZVC, Kole Sur Lukenie Airport
FZVD, Dingele Airport
FZVE, Lomela Airport
FZVF, Kutusongo Airport
FZVG, Katako'kombe Airport
FZVH, Shongamba Airport
FZVI, Lusambo Airport
FZVJ, Tshumbe Airport
FZVK, Lukombe-Batwa Airport
FZVL, Wasolo Airport
FZVM, Mweka Airport
FZVN, Wembo-Nyama Airport
FZVO, Beni-Dibele Airport
FZVP, Dikungu Airport
FZVR, Basongo Airport
FZVS, Ilebo Airport
FZVT, Dekese Airport
FZVU, Idumbe Airport
FZWA, Mbuji Mayi Airport
FZWB, Bibanga Airport
FZWC, Gandajika Airport
FZWE, Mwene-Ditu Airport
FZWF, Kipushi Airport
FZWI, Kashia Airport
FZWL, Munkamba Airport
FZWR, Kisengwa Airport
FZWS, Lubao Airport
FZWT, Tunta Airport
GAAO, Ansongo Airport
GABD, Bandiagara Airport
GABF, Bafoulabe Airport
GABG, Bougouni Airport
GABR, Bourem Airport
GABS, Senou Airport
GADA, Dioila Airport
GADZ, Douentza Airport
GAFD, Faladie Airport
GAGM, Goundam Airport
GAGO, Gao Airport
GAKA, Kenieba Airport
GAKL, Kidal Airport
GAKM, Ke-Macina Airport
GAKN, Kolokani Airport
GAKO, Koutiala Airport
GAKT, Kita Airport
GAKY, Kayes Dag Dag Airport
GAMA, Markala Airport
GAMB, Ambodedjo Airport
GAMK, Menaka Airport
GANF, Niafunke Airport
GANK, Nara Airport
GANR, Nioro du Sahel Airport
GASK, Sikasso Airport
GASO, Dignangan Airport
GATB, Timbuktu Airport
GATS, Tessalit Airport
GAYE, Yelimane Airport
GBYD, Banjul International Airport
GCFV, Fuerteventura Airport
GCGM, La Gomera Airport
GCHI, Hierro Airport
GCLA, La Palma Airport
GCLB, El Berriel Aeroc Airport
GCLP, Gran Canaria Airport
GCRR, Lanzarote Airport
GCTS, Tenerife South Airport
GCXO, Tenerife Norte Airport
GEML, Melilla Airport
GFBN, Sherbro International Airport
GFBO, Bo Airport
GFGK, Gbangbatok Airport
GFHA, Hastings Airport
GFKB, Kabala Airport
GFKE, Kenema Airport
GFLL, Lungi International Airport
GFTO, Tongo Airport
GFYE, Yengema Airport
GGBF, Bafata Airport
GGBU, Bubaque Airport
GGCF, Cufar Airport
GGOV, Osvaldo Vieira International Airport
GLBU, Buchanan Airport
GLCM, Robertsport/Cape Mount Airport
GLCP, Cape Palmas Airport
GLGE, Greenville Sinoe Airport
GLLB, Lamco Airport
GLMR, Spriggs Payne Airport
GLNA, Nimba Airport
GLRB, Roberts International Airport
GLST, Sasstown Airport
GLTN, Tchien Airport
GLVA, Voinjama Airport
GMAA, Inezgane Airport
GMAD, Al Massira Airport
GMAT, Tan Tan Airport
GMAZ, Zagora Airport
GMFA, Ouezzane Airport
GMFB, Bouarfa Airport
GMFF, Saiss Airport
GMFI, Ifrane Airport
GMFK, Moulay Ali Cherif Airport
GMFM, Bassatine Airport
GMFN, Taouima Nador Airport
GMFO, Angads Airport
GMFU, Fes Sefrou Airport
GMFZ, Taza Airport
GMMA, Smara Airport
GMMB, Ben Slimane Airport
GMMC, Anfa Airport
GMMD, Beni Mellal Airport
GMME, Rabat-Sale Airport
GMMF, Sidi Ifni Xx Airport
GMMH, Dakhla Airport
GMMI, Mogador Airport
GMMJ, El Jadida Airport
GMML, Hassan I Airport
GMMN, Mohammed V International Airport
GMMO, Taroudant Airport
GMMS, Safi Airport
GMMT, Tit Mellil Airport
GMMW, Nador International Airport
GMMX, Menara Airport
GMMY, Kenitra Airport
GMMZ, Ouarzazate Airport
GMSL, Sidi Slimane Airport
GMTA, Cherif Al Idrissi Airport
GMTN, Saniat Rmel Airport
GMTT, Ibn Batouta Airport
GODK, Kolda North Airport
GOGG, Ziguinchor Airport
GOGS, Cap Skirring Airport
GOOK, Kaolack Airport
GOOY, Leopold Sedar Senghor International Airport
GOSM, Ouro Sogui Airport
GOSP, Podor Airport
GOSR, Richard Toll Airport
GOSS, Saint Louis Airport
GOTB, Bakel Airport
GOTK, Kedougou Airport
GOTS, Simenti Airport
GOTT, Tambacounda Airport
GQNA, Aioun el Atrouss Airport
GQNB, Boutilimit Airport
GQNC, Tichitt Airport
GQND, Tidjikja Airport
GQNE, Abbaye Airport
GQNF, Kiffa Airport
GQNH, Timbedra Airport
GQNI, Nema Airport
GQNJ, Akjoujt Airport
GQNK, Kaedi Airport
GQNL, Letfotar Airport
GQNM, Dahara Airport
GQNN, Nouakchott International Airport
GQNS, Selibaby Airport
GQNT, Tamchakett Airport
GQPA, Atar International Airport
GQPF, Fderik Airport
GQPP, Nouadhibou International Airport
GQPT, Bir Moghrein Airport
GQPZ, Tazadit Airport
GUCY, Conakry Airport
GUFA, Fria Airport
GUFH, Faranah Airport
GUGO, Gbenko Airport
GUKR, Kawass Airport
GUKU, Kissidougou Airport
GULB, Labe Airport
GUMA, Macenta Airport
GUNZ, Nzerekore Airport
GUOK, Boke Airport
GUSA, Sangaredi Airport
GUSB, Sambailo Airport
GUSI, Siguiri Airport
GUXN, Kankan Airport
GVAC, Amilcar Cabral International Airport
GVAN, Agostinho Neto Airport
GVBA, Rabil Airport
GVBR, Esperadinha Airport
GVMA, Maio Airport
GVMT, Mosteiros Airport
GVNP, Praia International Airport
GVSF, Sao Filipe Airport
GVSN, Preguica Airport
GVSV, Sao Pedro Airport
HAAB, Bole International Airport
HAAD, Adaba Airport
HAAL, Lideta Army Airport
HAAM, Arba Minch Airport
HAAX, Axum Airport
HABC, Baco Airport
HABD, Bahir Dar Airport
HABE, Beica Airport
HADC, Combolcha Airport
HADD, Dembidollo Airport
HADM, Debra Marcos Airport
HADO, Dodola Airport
HADR, Aba Tenna Dejazmach Yilma International Airport
HADT, Debre Tabor Airport
HAFN, Fincha Airport
HAGB, Robe Airport
HAGH, Ghinnir Airport
HAGM, Gambella Airport
HAGN, Gonder Airport
HAGO, Gode Airport
HAGR, Gore Airport
HAHM, Harar Meda Airport
HAHU, Humera Airport
HAJM, Jimma Airport
HAKD, Kabri Dehar Airport
HAKL, Kelafo East Airport
HALA, Awassa Airport
HALL, Lalibella Airport
HAMJ, Tume Airport
HAMK, Mekele Airport
HAML, Masslo Airport
HAMM, Metema Airport
HAMN, Mendi Airport
HAMT, Mizan Teferi Airport
HANJ, Nejjo Airport
HANK, Nekemte Airport
HASD, Soddu Airport
HASH, Sheik Hussein Airport
HASO, Asosa Airport
HATP, Tippi Airport
HAWC, Waca Airport
HBBA, Bujumbura International Airport
HBBE, Gitega Airport
HBBO, Kirundo Airport
HCMA, Alula Airport
HCMB, Baidoa Airport
HCMC, Candala Airport
HCMD, Bardera Airport
HCME, Eil Airport
HCMF, Bosaso Airport
HCMG, Gardo Airport
HCMH, Egal International Airport
HCMI, Berbera Airport
HCMK, Kisimayu Airport
HCMM, Aden Adde International Airport
HCMN, Belet Uen Airport
HCMO, Obbia Airport
HCMR, Galcaio Airport
HCMS, Scusciuban Airport
HCMU, Erigavo Airport
HCMV, Burao Airport
HDAG, Assa-Gueyla Airport
HDAM, Djibouti-Ambouli Airport
HDAS, Ali-Sabieh Airport
HDCH, Chabelley Airport
HDDK, Dikhil Airport
HDHE, Herkale Airport
HDMO, Moucha Airport
HDOB, Obock Airport
HDTJ, Tadjoura Airport
HEAL, El Alamein International Airport
HEAR, El Arish International Airport
HEAT, Assiut International Airport
HEAX, El Nouzha Airport
HEAZ, Almaza Air Force Base
HEBA, Borg El Arab International Airport
HEBL, Abu Simbel Airport
HEBS, Beni Suef Air Base
HECA, Cairo International Airport
HECW, Cairo West Airport
HEDK, Dakhla Airport
HEEM, Giza Embaba Airport
HEGN, Hurghada International Airport
HEGO, El Gouna Airport
HEGR, El Gora Airport
HEGS, Jiyanklis Air Base
HEKG, El Kharga Airport
HELX, Luxor International Airport
HEMA, Marsa Alam International Airport
HEMK, Sohag International Airport
HEMM, Mersa Matruh Airport
HEOC, October Airport
HEOW, Shark El Oweinat International Airport
HEPS, Port Said Airport
HESC, St Catherine International Airport
HESH, Sharm El Sheikh International Airport
HESN, Aswan International Airport
HETB, Taba International Airport
HETR, El Tor Airport
HHAS, Asmara International Airport
HHMS, Massawa International Airport
HHSB, Assab International Airport
HHTS, Tessenei Airport
HKAM, Amboseli Airport
HKBR, Bura East Airport
HKEL, Eldoret International Airport
HKEM, Embu Airport
HKES, Eliye Springs Airport
HKEW, El Wak Airport
HKFG, Kalokol Airport
HKGA, Garissa Airport
HKGT, Garba Tula Airport
HKHB, Homa Bay Airport
HKHO, Hola Airport
HKIS, Isiolo Airport
HKJK, Jomo Kenyatta International Airport
HKKB, Kiambere Airport
HKKE, Keekorok Airport
HKKG, Kakamega Airport
HKKI, Kisumu Airport
HKKL, Kilaguni Airport
HKKR, Kericho Airport
HKKS, Kisii Airport
HKKT, Kitale Airport
HKKU, Kitui Airport
HKLG, Lokitaung Airport
HKLK, Lokichoggio Airport
HKLO, Lodwar Airport
HKLU, Manda Airstrip
HKLY, Loyengalani Airport
HKMA, Mandera Airport
HKMB, Segel Airport
HKMI, Maralal (Kisima) Airport
HKMK, Mulika Lodge Airport
HKML, Malindi Airport
HKMM, Migori Airport
HKMO, Mombasa Moi International Airport
HKMS, Mara Serena Lodge Airstrip
HKMY, Moyale Airport
HKNI, Nyeri Airport
HKNK, Nakuru Airport
HKNO, Narok Airport
HKNV, Naivasha Airport
HKNW, Nairobi Wilson Airport
HKNY, Nanyuki Airport
HKRE, Moi Air Base
HKSB, Samburu South Airport
HKUK, Ukunda Airstrip
HKVO, Voi Airport
HKWE, Webuye Airport
HKWJ, Wajir Airport
HLAM, Amal V12 Airport
HLBD, Beda (M-3) Airport
HLFL, Bu Attifel Airport
HLGD, Gardabya Airport
HLGL, Warehouse 59e Airport
HLGN, Gamal Abdel Nasser Airport
HLGT, Ghat Airport
HLKF, Kufra Airport
HLLB, Benina International Airport
HLLM, Mitiga Airport
HLLQ, La Abraq Airport
HLLS, Sabha Airport
HLLT, Tripoli International Airport
HLMB, Marsa Brega Airport
HLNF, Ras Lanuf Oil Airport
HLNR, Nafurah 1 Airport
HLON, Hon Airport
HLRA, Dahra Airport
HLSA, Sarir (C-4) Airport
HLSD, Essider Airport
HLTD, Ghadames East Airport
HLWA, Warehouse 59A Airport
HLZA, Zella 74 Airport
HLZG, Oxy A 103 Airport
HLZU, Zueitina Airport
HLZW, Zwara Airport
HRYG, Gisenyi Airport
HRYI, Butare Airport
HRYN, Nemba Airport
HRYO, Gabiro Airport
HRYR, Kigali International Airport
HRYU, Ruhengeri Airport
HRZA, Kamembe Airport
HSAK, Akobo Airport
HSAT, Atbara Airport
HSAW, Aweil Airport
HSBR, Bor Airport
HSBT, Bentu Airport
HSCG, Carthago Airport
HSDB, El Debba Airport
HSDL, Dilling Airport
HSDN, Dongola Airport
HSDZ, Damazin Airport
HSFS, El Fasher Airport
HSGF, Azaza Airport
HSGG, Galegu Airport
HSGN, Geneina Airport
HSGO, Gogrial Airport
HSHG, Heglig Airport
HSKA, Kassala Airport
HSKG, Khashm El Girba Airport
HSKI, Kosti Airport
HSKJ, Kago Kaju Airport
HSKP, Kapoeta Airport
HSLI, Kadugli Airport
HSMD, Marida Airport
HSMK, Rumbek Airport
HSMN, Merowe (Merowe New)
HSMR, Merowe Airport
HSND, Shendi Airport
HSNH, En Nahud Airport
HSNM, Nimuli Airport
HSNN, Nyala Airport
HSNW, New Halfa Airport
HSOB, El Obeid Airport
HSPA, Pachella Airport
HSPI, Pibor Airport
HSPN, Port Sudan New International Airport
HSRJ, Raga Airport
HSRN, Renk Airport
HSSJ, Juba Airport
HSSM, Malakal Airport
HSSP, Port Sudan Air Base
HSSS, Khartoum International Airport
HSSW, Wadi Halfa Airport
HSTO, Tong Airport
HSTR, Torit Airport
HSTU, Tumbura Airport
HSWW, Wau Airport
HSYA, Yambio Airport
HSYE, Yei Airport
HSYL, Yirol Airport
HSZA, Zalingei Airport
HTAG, Amani Gomvu Airport
HTAR, Arusha Airport
HTBB, Kibambawe Airstrip
HTBS, Mbesa Airport
HTBU, Bukoba Airport
HTCH, Chunya Airport
HTDA, Mwalimu Julius K. Nyerere International Airport
HTDO, Dodoma Airport
HTIR, Iringa Airport
HTIY, Inyonga Airport
HTKA, Kigoma Airport
HTKB, Kibondo Airport
HTKD, Kondoa Airport
HTKI, Kilwa Masoko Airport
HTKJ, Kilimanjaro International Airport
HTKL, Kirondatal Airport
HTKO, Kongwa Airport
HTKS, Kilosa Airport
HTKT, Kilimatinde Airport
HTLD, Loliondo Airport
HTLI, Kikwetu Airport
HTLL, Liuli Airport
HTLM, Lake Manyara Airport
HTMA, Mafia Island Airport
HTMB, Mbeya Airport
HTMD, Mwadui Airport
HTMF, Mufindi Airport
HTMG, Morogoro Airport
HTMI, Masasi Airport
HTMK, Mikumi Airport
HTML, Malya Airport
HTMO, Mombo Airport
HTMP, Mpanda Airport
HTMS, Moshi Airport
HTMT, Mtwara Airport
HTMU, Musoma Airport
HTMW, Mwanza Airport
HTMX, Mpwapwa Airport
HTNA, Nachingwea Airport
HTNJ, Njombe Airport
HTNR, Ngara Airport
HTOL, Oltipesi Airport
HTPE, Pemba Airport
HTSD, Singida Airport
HTSE, Same Airport
HTSH, Mafinga Airport
HTSN, Seronera Airport
HTSO, Songea Airport
HTSU, Sumbawanga Airport
HTSY, Shinyanga Airport
HTTB, Tabora Airport
HTTG, Tanga Airport
HTTU, Tunduru Airport
HTUK, Nansio Airport
